,Club Name,Zip code,Club Rating,Club latitude,Club longitude
0,Plush,78701,4.0,30.2672547410362,-97.7367449512796
1,Kingdom,78701,3.5,30.266647006443,-97.742492574117
2,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
3,Elysium,78701,4.0,30.26766,-97.73657
4,Barbarella,78701,3.0,30.26705,-97.73676
5,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
6,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
7,Suite 101,78701,2.0,30.26712,-97.74377
8,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
9,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
10,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
11,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
12,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
13,Rain on 4th,78701,3.5,30.266515,-97.745681
14,Highland,78701,3.5,30.2670059204102,-97.7449569702148
15,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
16,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
17,Lit Lounge,78701,3.5,30.267239,-97.740929
18,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
19,The Iron Bear,78701,4.0,30.270101419529,-97.7432864219643
20,Dozen Street,78702,4.5,30.2738603,-97.7203803
21,Volstead Lounge,78702,3.5,30.2581775581538,-97.7148056030273
22,The Eastern,78702,4.0,30.26287,-97.72682
23,The White Horse,78702,4.0,30.262545,-97.727024
24,Kingdom,78701,3.5,30.266647006443,-97.742492574117
25,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
26,Donn's Depot,78703,4.5,30.27413,-97.76333
27,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
28,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
29,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
30,Suite 101,78701,2.0,30.26712,-97.74377
31,Rain on 4th,78701,3.5,30.266515,-97.745681
32,Highland,78701,3.5,30.2670059204102,-97.7449569702148
33,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
34,The Iron Bear,78701,4.0,30.270101419529,-97.7432864219643
35,Concrete Cowboy,78701,2.5,30.270074128333,-97.750461339859
36,Shiner's Saloon,78701,4.0,30.267053604126,-97.743537902832
37,Austin Music Hall,78701,2.0,30.2667255401611,-97.7501068115234
38,Wave,78798,2.0,30.266944,-97.742778
39,POP,78701,2.5,30.2698036604984,-97.7493897157767
40,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
41,C-Boys Heart & Soul,78704,4.0,30.243746,-97.752289
42,The Highball,78704,3.0,30.2561289911694,-97.7632124508172
43,The Saxon Pub,78704,3.5,30.2536067962646,-97.7634658813477
44,Ego's,78704,3.5,30.25628,-97.74761
45,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
46,Austin Ballroom Dancers,78765,5.0,30.298709,-97.725207
47,The Rose Room,78758,3.0,30.4012554100097,-97.7229330762929
48,Detour,78758,3.5,30.39442,-97.72019
49,Boomerz,78735,3.5,30.2363456598715,-97.8561775190617
50,Plush,78701,4.0,30.2672547410362,-97.7367449512796
51,Kingdom,78701,3.5,30.266647006443,-97.742492574117
52,Elysium,78701,4.0,30.26766,-97.73657
53,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
54,Barbarella,78701,3.0,30.26705,-97.73676
55,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
56,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
57,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
58,Suite 101,78701,2.0,30.26712,-97.74377
59,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
60,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
61,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
62,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
63,Rain on 4th,78701,3.5,30.266515,-97.745681
64,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
65,Highland,78701,3.5,30.2670059204102,-97.7449569702148
66,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
67,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
68,Lit Lounge,78701,3.5,30.267239,-97.740929
69,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
70,Plush,78701,4.0,30.2672547410362,-97.7367449512796
71,Elysium,78701,4.0,30.26766,-97.73657
72,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
73,Barbarella,78701,3.0,30.26705,-97.73676
74,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
75,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
76,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
77,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
78,Suite 101,78701,2.0,30.26712,-97.74377
79,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
80,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
81,Highland,78701,3.5,30.2670059204102,-97.7449569702148
82,Lit Lounge,78701,3.5,30.267239,-97.740929
83,Dozen Street,78702,4.5,30.2738603,-97.7203803
84,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
85,Nocturnity,78701,2.5,30.2675834298134,-97.7367521077394
86,Austin Ballroom Dancers,78765,5.0,30.298709,-97.725207
87,Creekside Live,78701,4.0,30.26741,-97.7360999
88,The Dorm Room,78701,4.0,30.267126,-97.738342
89,Pete's Dueling Piano Bar,78701,4.0,30.266916118202,-97.7386209368706
90,Plush,78701,4.0,30.2672547410362,-97.7367449512796
91,Kingdom,78701,3.5,30.266647006443,-97.742492574117
92,Elysium,78701,4.0,30.26766,-97.73657
93,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
94,Barbarella,78701,3.0,30.26705,-97.73676
95,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
96,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
97,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
98,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
99,Suite 101,78701,2.0,30.26712,-97.74377
100,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
101,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
102,Rain on 4th,78701,3.5,30.266515,-97.745681
103,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
104,Highland,78701,3.5,30.2670059204102,-97.7449569702148
105,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
106,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
107,Lit Lounge,78701,3.5,30.267239,-97.740929
108,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
109,Majestic Austin,78701,3.5,30.266626,-97.738701
110,The Rose Room,78758,3.0,30.4012554100097,-97.7229330762929
111,Detour,78758,3.5,30.39442,-97.72019
112,Skylark Lounge,78722,4.5,30.2846205,-97.70491
113,Dozen Street,78702,4.5,30.2738603,-97.7203803
114,Austin Ballroom Dancers,78765,5.0,30.298709,-97.725207
115,Club Escapade 2000,78724,2.5,30.29005,-97.62819
116,Darband Hookah Lounge,78729,4.0,30.452406,-97.781062
117,Shenanigans Night Club,78729,3.5,30.44644,-97.77896
118,Boomerz,78735,3.5,30.2363456598715,-97.8561775190617
119,Texas Club Bar & Grill,78744,4.5,30.2119300039385,-97.7296185185185
120,Emo's,78741,3.0,30.24022,-97.72808
121,Darband Hookah Lounge,78729,4.0,30.452406,-97.781062
122,Austin Ballroom Dancers,78765,5.0,30.298709,-97.725207
123,M.I.2 Crew,78753,5.0,30.3889868,-97.6710889
124,The Rose Room,78758,3.0,30.4012554100097,-97.7229330762929
125,Detour,78758,3.5,30.39442,-97.72019
126,Texas Club Bar & Grill,78744,4.5,30.2119300039385,-97.7296185185185
127,Midtown Live Sports Cafe,78752,3.0,30.3292980194092,-97.6904373168945
128,Plush,78701,4.0,30.2672547410362,-97.7367449512796
129,Elysium,78701,4.0,30.26766,-97.73657
130,Barbarella,78701,3.0,30.26705,-97.73676
131,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
132,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
133,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
134,The White Horse,78702,4.0,30.262545,-97.727024
135,The Eastern,78702,4.0,30.26287,-97.72682
136,Volstead Lounge,78702,3.5,30.2581775581538,-97.7148056030273
137,Dozen Street,78702,4.5,30.2738603,-97.7203803
138,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
139,Nocturnity,78701,2.5,30.2675834298134,-97.7367521077394
140,Majestic Austin,78701,3.5,30.266626,-97.738701
141,Creekside Live,78701,4.0,30.26741,-97.7360999
142,The Dorm Room,78701,4.0,30.267126,-97.738342
143,Pete's Dueling Piano Bar,78701,4.0,30.266916118202,-97.7386209368706
144,Voodoo Room,78701,2.5,30.2667009741786,-97.73865333732
145,The Thirsty Nickel,78701,3.0,30.2673881219428,-97.7397779747844
146,Buckshot,78701,4.0,30.26714,-97.73833
147,Big Bang,78701,3.0,30.2667904280775,-97.7388728053652
148,Plush,78701,4.0,30.2672547410362,-97.7367449512796
149,Kingdom,78701,3.5,30.266647006443,-97.742492574117
150,Elysium,78701,4.0,30.26766,-97.73657
151,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
152,Barbarella,78701,3.0,30.26705,-97.73676
153,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
154,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
155,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
156,Suite 101,78701,2.0,30.26712,-97.74377
157,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
158,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
159,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
160,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
161,Rain on 4th,78701,3.5,30.266515,-97.745681
162,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
163,Highland,78701,3.5,30.2670059204102,-97.7449569702148
164,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
165,Lit Lounge,78701,3.5,30.267239,-97.740929
166,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
167,Majestic Austin,78701,3.5,30.266626,-97.738701
168,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
169,Plush,78701,4.0,30.2672547410362,-97.7367449512796
170,Kingdom,78701,3.5,30.266647006443,-97.742492574117
171,Elysium,78701,4.0,30.26766,-97.73657
172,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
173,Barbarella,78701,3.0,30.26705,-97.73676
174,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
175,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
176,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
177,Suite 101,78701,2.0,30.26712,-97.74377
178,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
179,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
180,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
181,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
182,Rain on 4th,78701,3.5,30.266515,-97.745681
183,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
184,Highland,78701,3.5,30.2670059204102,-97.7449569702148
185,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
186,Lit Lounge,78701,3.5,30.267239,-97.740929
187,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
188,Majestic Austin,78701,3.5,30.266626,-97.738701
189,Plush,78701,4.0,30.2672547410362,-97.7367449512796
190,Kingdom,78701,3.5,30.266647006443,-97.742492574117
191,Elysium,78701,4.0,30.26766,-97.73657
192,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
193,Barbarella,78701,3.0,30.26705,-97.73676
194,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
195,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
196,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
197,Suite 101,78701,2.0,30.26712,-97.74377
198,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
199,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
200,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
201,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
202,Rain on 4th,78701,3.5,30.266515,-97.745681
203,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
204,Highland,78701,3.5,30.2670059204102,-97.7449569702148
205,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
206,Lit Lounge,78701,3.5,30.267239,-97.740929
207,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
208,Majestic Austin,78701,3.5,30.266626,-97.738701
209,Plush,78701,4.0,30.2672547410362,-97.7367449512796
210,Kingdom,78701,3.5,30.266647006443,-97.742492574117
211,Elysium,78701,4.0,30.26766,-97.73657
212,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
213,Barbarella,78701,3.0,30.26705,-97.73676
214,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
215,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
216,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
217,Suite 101,78701,2.0,30.26712,-97.74377
218,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
219,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
220,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
221,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
222,Rain on 4th,78701,3.5,30.266515,-97.745681
223,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
224,Highland,78701,3.5,30.2670059204102,-97.7449569702148
225,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
226,Lit Lounge,78701,3.5,30.267239,-97.740929
227,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
228,Majestic Austin,78701,3.5,30.266626,-97.738701
229,Midtown Live Sports Cafe,78752,3.0,30.3292980194092,-97.6904373168945
230,Plush,78701,4.0,30.2672547410362,-97.7367449512796
231,Kingdom,78701,3.5,30.266647006443,-97.742492574117
232,Elysium,78701,4.0,30.26766,-97.73657
233,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
234,Barbarella,78701,3.0,30.26705,-97.73676
235,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
236,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
237,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
238,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
239,Suite 101,78701,2.0,30.26712,-97.74377
240,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
241,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
242,Rain on 4th,78701,3.5,30.266515,-97.745681
243,Highland,78701,3.5,30.2670059204102,-97.7449569702148
244,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
245,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
246,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
247,Lit Lounge,78701,3.5,30.267239,-97.740929
248,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
249,Majestic Austin,78701,3.5,30.266626,-97.738701
250,Plush,78701,4.0,30.2672547410362,-97.7367449512796
251,Kingdom,78701,3.5,30.266647006443,-97.742492574117
252,Elysium,78701,4.0,30.26766,-97.73657
253,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
254,Barbarella,78701,3.0,30.26705,-97.73676
255,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
256,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
257,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
258,Suite 101,78701,2.0,30.26712,-97.74377
259,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
260,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
261,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
262,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
263,Rain on 4th,78701,3.5,30.266515,-97.745681
264,Highland,78701,3.5,30.2670059204102,-97.7449569702148
265,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
266,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
267,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
268,Lit Lounge,78701,3.5,30.267239,-97.740929
269,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
270,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
271,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
272,Plush,78701,4.0,30.2672547410362,-97.7367449512796
273,Kingdom,78701,3.5,30.266647006443,-97.742492574117
274,Elysium,78701,4.0,30.26766,-97.73657
275,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
276,Barbarella,78701,3.0,30.26705,-97.73676
277,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
278,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
279,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
280,Suite 101,78701,2.0,30.26712,-97.74377
281,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
282,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
283,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
284,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
285,Rain on 4th,78701,3.5,30.266515,-97.745681
286,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
287,Highland,78701,3.5,30.2670059204102,-97.7449569702148
288,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
289,Lit Lounge,78701,3.5,30.267239,-97.740929
290,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
291,Majestic Austin,78701,3.5,30.266626,-97.738701
292,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
293,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
294,Skylark Lounge,78722,4.5,30.2846205,-97.70491
295,Dozen Street,78702,4.5,30.2738603,-97.7203803
296,The Eastern,78702,4.0,30.26287,-97.72682
297,The White Horse,78702,4.0,30.262545,-97.727024
298,Volstead Lounge,78702,3.5,30.2581775581538,-97.7148056030273
299,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
300,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
301,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
