,RecordNumber,Zipcode,ZipCodeType,City,State,Lat,Long,Country,Location,Decommisioned,EstimatedPopulation
62761,62762,73301,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,1912.0
62763,62764,73344,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62765,62766,78701,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,4614.0
62766,62767,78702,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,14748.0
62767,62768,78703,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,15681.0
62769,62770,78704,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,29684.0
62771,62772,78705,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,6321.0
62772,62773,78708,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,677.0
62773,62774,78709,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,830.0
62774,62775,78710,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62775,62776,78711,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,396.0
62776,62777,78712,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62780,62781,78713,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62781,62782,78714,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,1117.0
62782,62783,78715,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,919.0
62783,62784,78716,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,811.0
62784,62785,78717,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,18710.0
62786,62787,78718,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62787,62788,78719,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,1271.0
62789,62790,78720,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,1210.0
62790,62791,78721,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,7819.0
62791,62792,78722,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,4286.0
62792,62793,78723,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,19486.0
62793,62794,78724,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,12800.0
62794,62795,78725,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,4474.0
62796,62797,78726,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,10230.0
62797,62798,78727,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,21646.0
62798,62799,78728,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,15073.0
62799,62800,78729,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,21329.0
62801,62802,78730,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,6427.0
62802,62803,78731,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,20782.0
62804,62805,78732,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,10495.0
62807,62808,78733,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,7359.0
62810,62811,78734,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,15313.0
62815,62816,78735,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,12304.0
62818,62819,78736,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,6186.0
62823,62824,78737,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,10564.0
62824,62825,78738,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,10472.0
62831,62832,78739,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,14154.0
62832,62833,78741,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,24672.0
62834,62835,78742,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,568.0
62835,62836,78744,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,29195.0
62839,62840,78745,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,42573.0
62841,62842,78746,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,23723.0
62845,62846,78747,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,10895.0
62846,62847,78748,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,31973.0
62848,62849,78749,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,28596.0
62850,62851,78750,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,22295.0
62851,62852,78751,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,8748.0
62852,62853,78752,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,11032.0
62853,62854,78753,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,32743.0
62855,62856,78754,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,10729.0
62858,62859,78755,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,706.0
62859,62860,78756,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,5681.0
62860,62861,78757,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,16774.0
62861,62862,78758,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,30239.0
62862,62863,78759,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,32533.0
62864,62865,78760,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,761.0
62865,62866,78761,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,797.0
62866,62867,78762,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62867,62868,78763,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,572.0
62868,62869,78764,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62869,62870,78765,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,524.0
62870,62871,78766,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,621.0
62871,62872,78767,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,654.0
62872,62873,78768,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,667.0
62873,62874,78769,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62874,62875,78772,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62876,62877,78773,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62878,62879,78774,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62880,62881,78778,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62882,62883,78779,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62884,62885,78780,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62886,62887,78781,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62888,62889,78783,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62890,62891,78785,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62892,62893,78789,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62894,62895,78799,STANDARD,AUSTIN,TX,30.27,-97.74,US,NA-US-TX-AUSTIN,False,
81373,81379,78786,UNIQUE,AUSTIN,TX,30.35,-97.65,US,NA-US-TX-AUSTIN,True,
81374,81380,78788,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,True,
81376,81382,78798,STANDARD,AUSTIN,TX,30.37,-97.68,US,NA-US-TX-AUSTIN,True,
